Roadmap de arquitetura 
Fri, 2 Aug 2024

0:00 - Elton de Oliveira Ramalho Tudo bem.
4:26 - Priscila Lourenço Molina Tá. Primeiro, Jaguar, que bom que você procurou a gente pra falar sobre isso, porque é importante, sim, a gente sempre tá com a expectativa alinhada. O Elton tem anos de Vila e ele se conectou nos assuntos e ele estava como uma referência técnica em pontos e situações que ele nem precisaria estar justamente por conta dessa quantidade de bagagem que ele tem e da confiança que o pessoal acabou acumulando no trabalho dele. Então, Jaguar, a régua tá lá em cima? Tá, mas eu não tô esperando que você fique na régua do Elton no D0, tá? Eu não tô esperando nada disso, ninguém tá esperando isso de você. O que a gente está esperando de você mesmo, e eu vou dar as diretrizes aqui agora, é que você encontre espaço dentro dessa atuação, porque muito do que a gente faz aqui dentro da CIT é encontrar os espaços vazios, preencher com a nossa competência e ser relevante para o banco dentro do espaço que a gente preencheu. Muitas das coisas que acontecem, porque se você for ver a estrutura da vila, o seu papel já existe. Até o meu papel já existe dentro da estrutura da vila. Até o meu já existe. É o VSN, seria a Carol. Não precisaria de mim aqui. Precisaria apenas de um gestor de contrato pra mudar a conta. Pra mudar a conta. Quantidade de horas e conta. Eles poderiam fazer todo o resto. Mas o que acontece com a gente? A gente espelha esses papéis ou a gente complementa esses papéis do banco como uma forma da gente trazer uma visão de fora, trazer a competência da CIT e o modo de fazer para a CIT para os processos e encontrar esses espaços que eles estão pecando em atuação, seja porque não tem competência técnica ou seja porque realmente não tem tempo mediante as situações burocráticas que eles já tem para enfrentar no dia a dia, a gente ocupa esse espaço e a gente seja relevante nesse espaço. Quais espaços? Eu estou vendo muito assim, não se apegue ao que o Elton fazia, a não ser você realmente pincelar tudo isso com ele pra você saber o histórico um pouco das coisas, porque o Elton realmente fazia muitas coisas e muitas inclusive com os pés nas costas porque ele já tinha todo o contexto derivado disso. Não vai ser simples, não vai pra você fazer, não vai ser simples como o Elton fazia alguns assuntos. Alguns assuntos que eram simples pro Elton vão ser extremamente complexos pra você. E tá tudo bem, é isso mesmo. Quais assuntos, quais diretrizes eu vou te dar aqui agora? E Elton, se você estiver em desacordo com o que eu vou falar ou eu estiver com com uma visão que vale a pena complementar, você me fala, tá? As diretrizes pra você se conectar agora é, número um, a questão de crédito. Aponhar os tech leads e o próprio DATI, o próprio Gustavo, dentro do que tá rolando de assunto que vai impactar a nossa squad de JRE. Esse é o primeiro assunto. Então, crédito seria o número um ali pra você entender este backlog, entender o que está por trás disso, que áreas estão envolvidas, de que forma que você pode colaborar nesse contexto e, como eu falo, entender e encontrar o espaço vazio e ocupar. Tem espaço vazio. Qual espaço vazio eu enxergo hoje aqui que tem de crédito? Essa gestão cross do backlog. Só que esse backlog, ele é em grande parte, ele não tem molho na parada, não tem camada de integração, mas esse backlog depende de outras áreas e tem uma série de detalhes nas APIs que a gente vai consumir, em exposição dessas APIs, como que a gente vai acessar, de que de forma que essa jornada tomba para a Salesforce e que alterações eu preciso fazer do que já existe na próxima. Tem uma série de detalhes ali dentro que a conexão com o Gustavo e com o Fábio vai dar um bom termômetro ali para você entender esse assunto. Segundo grande assunto para o Jaguar se conectar. A questão ali da integração. Por quê? Integração, o time também é nosso, nós estamos para rampar mais pessoas, mas nós não temos backlog para essas pessoas. Inclusive o Elton estava desenhando literalmente quais problemas a gente tem na mesa hoje. Eu pedi para ele também te falar, Jaguar, porque obviamente ele adotou uma uma linguagem muito menos técnica comigo pra eu poder entender. E aí ele vai modular e vai também fazer você entender esse assunto porque esse também é um assunto quente, por quê? Porque a gente precisa trazer pessoas pra fazer a migração e a gente não tem ambiente nem arquitetura suportável pra essas pessoas que a gente vai tombar aqui dentro. Então, é um assunto que eu vou cair em muitas agendas pra argumentar nesse sentido e eu preciso ali de uma visão técnica aprofundada sobre esse tema. Então, MULISOFT, camada de integração, o que a gente tem de backlog para esse time. E o terceiro grande assunto, e o último que eu vejo que é uma conexão importante, é a questão que eu acabei de esquecer.

9:35 - Jaguaraci Batista Silva Dá uma olhada, Priscila. Eu coloquei tudo que estava no seu roadmap aqui, ó. Inclusive, o Ubisoft está aqui, os desafiados. O Ubisoft já está lá. Pegasystems, coleta de e-mail. Assim, os detalhes a gente vai ver, né, créditos, créditos.

9:55 - Priscila Lourenço Molina Vai mais pra cima, deixa eu ver se tem alguma coisa. Porque tudo que você falou está dentro desses temas que eu falei aqui. Inclusive, Pegasystems, quando a gente fala de Pegasystems, a gente está falando desse tema crédito, né, Grandão?

10:10 - Priscila Lourenço Molina Vai mais pra cima, ou não tem mais pra cima?

10:12 - Jaguaraci Batista Silva Nossa, Rodrigo, mas pessoal, é isso aqui mesmo. Você quer dar uma olhada nele?

10:20 - Priscila Lourenço Molina Então, você estava conectado em alguma coisa de cache? Não, né?

10:25 - Priscila Lourenço Molina A partir do momento que não tinha integração, desconectou.

10:27 - Priscila Lourenço Molina Desconectou, né? Ah, lembrei. Lembrei, Jaguar. Estou falando de dados. Outro ponto. Ser o ponto de apoio do nosso time de dados, que agora vai ficar sem um squad leader ali dentro. O nosso time de dados, você pode ver que ele não tá diretamente envolvido nas questões que envolvem esses dois assuntos que eu falei, né? Mas o que o time de dados tá envolvido? Ele tá envolvido num ramp-down. A gente vai fazer um ramp-down desse time final de dezembro. Esse assunto não está aberto pro time, Jaguar.

11:05 - Priscila Lourenço Molina Por quê? Porque quando a gente fala ramp down, eu estou falando apenas que eles não vão atuar aqui, eu não vou desligar ninguém. Eu vou apenas realocar eles dentro da própria C&T. Não existe nenhum risco de eu desligar qualquer pessoa. Não existe. Então a gente não vai perturbar eles com esse tipo de informação, porque pode vir uma demandada de pessoas e não faz sentido nenhum, nem para o contrato, nem para essas pessoas se preocuparem com isso. Tá, Jaguar? Então, informação de gestão. Esse time está estendido até dezembro. Eles vão internalizar esse time dentro do próprio atacado. Mas até que esse time não seja internalizado, a missão desse time é bastante sensível. É um time que tem uma série de rotinas na esteira deles, não só de sustentação, como também de desenvolvimento. E a gente vai precisar fazer essa transição de conhecimento com o banco, sabendo já desse ramp down e eles internalizando esse conhecimento. E a gente vai ser muito pragmático, e até o Elton e o Ramirez ontem estavam estavam me elucidando. Um posicionamento que a gente tem que ter a zap já semana que vem, que é o seguinte, pessoal, estamos perdendo os acessos, essas questões aqui nós não vamos atuar mais. É o que vocês falaram, Priscila, a gente tem que se posicionar nesse sentido. Então eu queria muito que você mergulhasse um pouco também nessa esteira desse assunto de dados, não no Ramp Down, na internalização, isso aqui é assunto que eu vou ter que resolver mesmo, mas eu digo no contexto que eles estão atuando, porque os problemas que pingam ali dentro, Jaguar, a primeira pessoa que o time acionava era o Well. Fora o próprio time, o time queria, o Elton ajudava a investigar ali as questões, o Elton ajudava o time não ficar batendo cabeça, direcionava o time pro rumo da solução, apaziguava os ânimos, né Elton? Nos bastidores, o Elton atuava desse jeito e também comunicando o banco, sendo um elo de ligação ali que verbaliza as coisas num contexto de negócio mais certo. Então, eu diria que esse seria o seu terceiro ponto de atuação aqui dentro, esse espaço, esse buraco aberto. E a sua atuação vai ser relevante e esse espaço coberto tem uma alta importância pra gente como fornecedores dentro da Vila. Consegui explicar os três pontos?

13:30 - Jaguaraci Batista Silva Ficou bem claro, tá? Eu acho que o que eu fiz aqui vai além desses pontos, até. Foi muito bom você contextualizar. Acredito que essa parte da sustentação tenha a ver com o painel de controle, que o pessoal teve reunião hoje. Me envolve também.

13:48 - Elton de Oliveira Ramalho A gente tem hoje cerca de 300 ou 400 processos, mas existem cinco que a gente precisa dar as maiores atenções. E o painel de controle é o primeiro deles. Então, basicamente é isso. Eu até compartilhei com você, depois eu posso explicar certinho. Mas a partir do momento que você entende como está estruturado, você vai ver que tem um monte de ponto de falha no processo. O processo de como a gente faz para chegar a esse dado bonitinho no painel. Então, o backlog para melhorias já está mapeado, o time tem que atacar. Então, é meio que, se tiver alguma coisa a mais...

14:30 - Priscila Lourenço Molina Eu já guardei noção desse backlog. Nossa, isso ficou muito bom o que vocês fizeram. Esse backlog, eu já guardei esse documento?

14:37 - Jaguaraci Batista Silva Aquela conversa com a Elane... Ela pediu o documento e ela enviou assim. Eu acompanhei essa reunião.

14:47 - Priscila Lourenço Molina Perfeito. Ô, Alton, do que eu falei, algum ponto pra complementar aí ou pra acrescentar?

14:57 - Elton de Oliveira Ramalho Eu acrescentaria mais um negócio, que é bem cimentada essa parceria com a Agnes.

15:06 - Elton de Oliveira Ramalho Porque...

15:09 - Elton de Oliveira Ramalho Qual que é o gap aí? A gente tem um grande gap entre a arquitetura corporativa, que a Agnes traz pra gente, e o engenheiro implementar. Esse gap... Tipo, eu encontrei espaço ali, tá?

15:24 - Unidentified Speaker Porque...

15:26 - Elton de Oliveira Ramalho sair de um documento para isso acontecer, tem bastante coisa no meio.

15:30 - Jaguaraci Batista Silva Exatamente, todos esses habilitadores aqui.

15:34 - Jaguaraci Batista Silva Exato.

15:35 - Jaguaraci Batista Silva E além dessa visão de arquitetura comparativa, porque são muitas demandas que ela não tem braço para trocar também. Então é uma troca ali de parceria, para a gente já ter ali uma outra. É isso mesmo. Está correto.

15:52 - Priscila Lourenço Molina É bastante buraco, Jaguar? Quando a gente fala, tem arquiteto da frente? Tem, Agnes. Tem um setor que nos apoia em arquitetura? Tem, o DATI. Tem um time que tem um tech lead ali dentro do time pra fazer o refinamento técnico e um squad leader ali pra orquestrar as coisas do backlog? Sim, tem. E no meio disso tudo?

16:16 - Jaguaraci Batista Silva Eu vejo ali uma figura de engenheiro de DevOps, né. Algumas empresas trabalham com um engenheiro dedicado ali nas squads ou cross. Dependendo das demandas, agiliza até diminuir e tornar o engenheiro só a causa. Eu vi que na estrutura tinha uma pessoa, uma colaboradora aqui que era a engenheira de DevOps. Ela não está mais, eu não vi mencionar nada sobre o DevOps.

16:42 - Priscila Lourenço Molina Quem era?

16:43 - Elton de Oliveira Ramalho De DevOps é o que acontece no estágio agora. As pessoas entram aqui, fazem, terminam o serviço e vão embora. Então, a gente tinha aqui o Robson, que cuidou bastante das esteiras de Seus Force e de Morisoft. Ele não tá mais aqui. Entrou uma pessoa no lugar, mas ela também não tá mais aqui. E a gente tem a esteira de dados, que é o nosso time que vai cutucando o pessoal pra entender como é a esteira e colocar, de repente, e implementar isso no dia a dia. Mas a gente não tem... A gente tem Álice que nos apoia, mas não tem nenhum representante aqui dentro. Isso que é o problema, e a gente às vezes tem que correr atrás disso Aqui que nos apoia, às vezes a gente não vai dar a solução, já existe a solução Mas dentro do Confluence a gente tem lá uma área, para falar sobre esteira de dados tem que ser com tal pessoa E é justamente isso que tem lá, não é um processo escrito, é falar com tal pessoa Eu vejo mais essa preocupação ali, essa parte de qualidade O

17:49 - Jaguaraci Batista Silva plano de SRE é muito alinhado com o modelo de qualidade do grupo da relação, mas tem muito mais a ver com o plano de riscos. Eu vejo um risco muito grande por você não ter uma pessoa dedicada para isso, por causa dos gaps que a gente já identificou, e até no caso dos técnicos. Precisa fazer muita coisa. E aí eu vejo também que a demora na busca pela resolução do problema deve ser grande. Eu não acompanho o ambiente com o Elton, mas quando você não tem o plano de CDB bem fechado, não acompanha as métricas, os dashboards não estão atualizados, a demora para encontrar a solução demora muito. Você tem que envolver muitas pessoas, nem sempre você consegue resolver rápido. Então, eu não sei se tem algumas métricas, principalmente de resolução de problemas para a SLA. Essa era a minha dúvida e minha preocupação agora.

18:45 - Priscila Lourenço Molina É assim mesmo, Jaguar. Não temos. E ainda temos alguns complicadores de acesso mesmo. De acesso ao ambiente, à base, a gente ter uma estrutura que agilize o nosso trabalho, de se ter mesmo, de desenvolvimento, de homologação. Então, existem bastante complicômetros nesse processo, além da complexidade em si.

19:14 - Elton de Oliveira Ramalho Eu gostei da sua visão, viu? Talvez seja algo pra gente debater com o banco, pra ter alguém do banco.

19:22 - Jaguaraci Batista Silva Do banco?

19:24 - Priscila Lourenço Molina como o Robson, né, Elton, antes de ele ser VSM, né?

19:27 - Elton de Oliveira Ramalho É, tipo, ele servia, fazia mais ou menos o papel de SRN, tá, no exemplo.

19:34 - Jaguaraci Batista Silva Aí, assim, junto com o Engenho DevOps ali pra apoiar, eu acho que eu consigo acelerar muita coisa, né, pra resolver esses debates. Principalmente essa parte da telemetria, pra você poder acelerar as entregas, né. Porque telemetria, ela não é só o monitoramento depois que você constrói, mas é toda a parte de debugging que você tá construindo também. Agiliza muito e vê padrão de ferramenta. Comecei a ver alguma coisa com a Agnes, mas ainda não vi a stack completa. Enfim, essa parte aí é mais tranquila porque eu já domino, assim, eu só vi o padrão do banco que a gente faz e faz funcionar. Mas a gente precisa realmente de braço para implementar essas coisas. Isso é o que me preocupa.

20:17 - Priscila Lourenço Molina Na Vila Investimento, a gente tinha um time de SRI, não era nem uma pessoa. E eles implementaram uma política de desenvolvimento mesmo, que tudo que... Assim como no Definition of Donor, a gente tem a implementação de tags analíticos pra poder fazer o monitoramento da jornada, assim como a gente tinha tags de acessibilidade pra que a gente tivesse um software acessível, Eu estou falando do app mesmo, porque lá a gente desenvolvia para o app do banco. A gente também tinha uma política de implementação para a inclusão dos comandos que o SRE ia utilizar nos dashs para acompanhar a performance, para acompanhar o consumo, a rastreabilidade do processo. Das rotinas que estavam sendo implementadas. E aí a partir disso também, então assim, tinha um TUDU relativo a isso já em tempo de desenvolvimento, é homologação, isso era homologado tudo dentro do balde, e depois a equipe do SRE monitorava isso, esses hints, e trazia os estudos ali do que estava impactando, do que não estava, ou mesmo em investigações de problemas, os dados acabavam servindo como insumo ali pra investigação. Mas eu acho que a gente Eu acho que esse processo seria bem-vindo aqui e eu acho que a gente pode estruturar isso sim em algum momento aí da nossa jornada aqui, tá, Jaguar? Mas eu acho que vale a pena, Elton, dar uma explorada um pouco mais nessa questão do plano das Quedas de Dados e também dessa questão da parceria com a Agnes, tá? E basicamente é isso que a gente faz aqui, Jaguar. Encontrar esses espaços e atuar. Porque se a gente for fazer só o que tá no nosso Job Description, a gente não sai do lugar. E se a gente também quiser fazer além do que existe o buraco, a gente tromba em alguma tartaruga. Então o melhor mesmo é a gente encontrar os espaços vazios e atuar nesses espaços vazios.

22:31 - Priscila Lourenço Molina Que daí a gente não tromba com ninguém, ninguém tá fazendo e a gente encontra relevância nisso, né? Porque também vai ser diferente.

22:39 - Priscila Lourenço Molina Não funciona, né, Elton? Não funciona.

22:42 - Jaguaraci Batista Silva Era isso aí. Era mais essa agenda mesmo pra ter esse alinhamento que eu vi que tá bem claro. E também te dá mais tranquilidade, né? Se o Elton tá saindo, o Elton tem cinco anos aí de vila. Te dá uma tranquilidade aí e a gente também vai tocando essas informações à medida que eu precisar de alguma coisa. Também já expus aqui as minhas preocupações também, mas fica tranquilo que estamos pegando o controle da situação, e os espaços eram preenchidos.

23:17 - Priscila Lourenço Molina Não, perfeito, Jaguar, perfeito. Obrigada por essa tranquilidade, tenho certeza que a gente vai sair do outro lado, Jaguar. Como você disse, eu já falei logo de manhã pro Elton, gente, eu tô... A gente fica muito pesaroso assim quando uma pessoa sai, sabe? Ainda mais uma pessoa assim como o Elton, sabe? Que tem toda uma história aqui que era meu braço direito aqui mesmo, sabe? Meu braço direito aqui na condução das coisas, minha mão firme, meu ponto de apoio. Então assim, Jaguar, agora você vai ganhar tudo isso, mais as minhas perturbações diárias, tá? Mas a gente sempre sai do outro lado, né, Elton? E a gente vai sair também, Jaguar. A gente sempre sai do outro lado. Enfrentamos várias crises aqui. E deu certo, né? Eu acho que vai sim. Conto com você, Jaguar. Tô segura aqui. Vamos em frente. E qualquer coisa o Elton tá aqui do lado também. Eu acho que vale a pena na segunda-feira a gente bater um papo com o Clarindo. E ver uma esquema, Jaguar, o seguinte. Na semana que vem, o Elton separar uma hora pra uma sessão de dúvidas aqui, você dar uma reunida aí nessas questões, pra não ficar, né, um pingo, ou também a gente não ficar sem descoberto. O Elton separar uma hora da agenda dele semana que vem, uma ou mais, não sei quanto você achar necessário, Jaguar. Pra as questões que acontecerem na semana, provavelmente aconteçam mais coisas ali que você interfacei, que de repente não tava claro pra você, o Elton separar um pedaço da agenda dele pra Dá esses direcionamentos. Eu acho que também seria bom semana que vem. E a gente conversa com o Cláudio em segunda-feira, Elton. Não precisa nem ser hoje. Segunda-feira a gente conversa.

24:59 - Jaguaraci Batista Silva Pode ser, pode ser.

25:00 - Jaguaraci Batista Silva É o que a gente tava fazendo, né, Elton? A Elton tinha uma agenda também muito cheia. É difícil encontrar o horário que eu tava com ele, imagino. Mas ele dava um jeito ali de encontrar uma horinha pra gente conversar. A gente dividia ali na manhã, né, à tarde. E foi seguindo assim, foi bom, porque passava muito documento, dava tempo de ler e poder tirar dúvidas com ele. Mas a gente só conseguiu avançar mesmo, porque é muita informação, né. Acho que a partir do momento, Priscila, que você foi feliz ali em compartilhar o roadmap, você colocou tudo ali no PPT. Ali, sim, pra mim foi um dos documentos chaves ali pra poder organizar esse projeto de arquitetura. Foi fundamental esse roadmap pra gente poder contextualizar e agora também essa conversa contextualizar muito mais. Muito obrigado.

26:01 - Priscila Lourenço Molina Imagina, eu que agradeço. Obrigado a vocês dois, tá? Qualquer coisa eu tô por aqui. Boa tarde.

26:08 - Elton de Oliveira Ramalho Boa tarde, Alton. Boa tarde, gente. Obrigado, hein? Valeu.
