fala,comportamento
"Jaguaraci Batista Silva Eu passei os dados, tô ali na ausência da Estalbelo, se precisa rodar um sleep, já juntaram. Mas ele também não retornou. Mesma coisa. Sempre que tem esses pontos ali, Priscila, foi o que eu escrevi pra você. A gente não tem como ficar cobrando, né, pro cliente. Mas esse ponto que é meio cinza, que a gente vê, é que eu acho que precisa de uma gestão mais ativa, mais forte para entender os status das coisas. Por exemplo, eu estou preocupado com o fornecedor, que a gente consiga implementar. Mas veja, eu, o Elânio, o Cassius cobrando, para que as coisas continuem, porque está na fase descoberta, a gente quer fazer o planejamento de delivery, quer avançar para entregar, mas a gente não tem avanço a uma semana. O mesmo caso é o caso do Ramiro. Olha, entregamos os dados, isso é suficiente? Como é que está o planejamento da descoberta? Quais são as etapas? E também não houve resposta. Já tem dois dias que ele não responde. Eu vou olhar aqui ontem. Segundo e segunda-feira geralmente tem muita coisa para resolver. Mas precisa de um planejamento para essa descoberta para a nuvem, para migrar para a nuvem. Esse plano eu não vejo, pelo experiência que eu tenho. Com relação à proximidade de crédito e a integração ali com o seu esforço para a HCI, isso aí também está me preocupando muito. Eu falei para a Agnes que eu queria ajudar ali na arquitetura, no design, da integração.",desvalorização
"Jaguaraci Batista Silva Geralmente eu não tenho dificuldade em fazer serviço da integração, tanto que para o caixa ali eu precisava pedir uma agenda, eu pedia informações. Mas essas agendas de arquitetura para a integração do prédito, elas são com furas pra caramba. Os arquitetos eles estão Os arquitetos do banco estão perdidos. Eu participei de uma agenda só que a Agnes me colocou. Eu vejo que eles estão perdidos. Desenhar arquitetura não é só esperar a história. Tanto que protesto eu não tenho nenhuma história escrita. Eu já desenhei arquitetura de solução já entendendo nas discussões. Eu acredito que os arquitetos são muito técnicos. Eles precisam ter essa ideia de negócio, que é o planilho que eu te mandei. Olha, as áreas de negócio têm esses domínios de dados, tem a entrega de valor. Isso tem a ver com aquela reunião que o André fez de organização do processo todo, desde a descoberta até o delivery. O Antônio até mencionou que está tudo errado, está vindo errado e não tem a visão da entrega de valor correta. Isso está passando para a arquitetura também. Eu não sei da experiência ali das pessoas. Eu vi que na reunião de arquitetura a McKinsey estava participando, então tem uma boa consultoria, mas isso não está sendo extraído corretamente.",delegação_inadequada
"Jaguaraci Batista Silva consegue entender quais são as quebras ali de subprocessos, quais são, na verdade, nem a cadeia de processo, nem a cadeia de valor do processo, que é uma ideia geral do macroprocesso. Você vê, na apresentação que eu estava fazendo, tem alguns exemplos ali, né, Priscila? Vou te mostrar aqui só para você entender.",delegação_inadequada
"Jaguaraci Batista Silva Tudo isso é a partir do BIAM.",delegação_inadequada
"Jaguaraci Batista Silva Mas isso não significa que o banco aplique a Bianca, o banco não aplica. Mas a gente precisa entender quais são as áreas. A gente precisa entender também que o atacado é uma área secundária, uma área que entrega histórias habilitadoras, técnicas. Ela não entrega valor. Por exemplo, não é que ela não entrega valor, o valor dela é sempre o técnico ou o valor que vai passar o bastão para outra área definitivamente gerar um valor maior para o banco. A jornada de oportunidade de crédito, por exemplo, é um exemplo muito bom porque a gente pega todos os dados para fazer desde a análise do mercado-algo, ou seja, você pega dados de lead, vai trabalhando o cliente, vai entendendo segmentação, faz toda a proposta e depois manda para o pega, para o pega analisar e fechar o contrato. Então o atacado ele trabalha muito nessa área, ele é uma área sacrudada, ele trabalha muito nessa oportunidade tanto de produtos quanto de serviços. Este está muito claro também, o Cash vai pegar os dados de mercado-alvo do Atacado para poder trabalhar e oferecer serviço completo para a Cash Management do banco. Então a gente vê que o Atacado tem essa função muito clara e a gente precisa entender quais são essas etapas. Que possui as etapas ali que o cash trabalha com as outras áreas. Mas isso não significa que o banco aplique dessa forma. Captação de leads, qualificação, captação de clientes com o trabalho do mercado alto, identificação das oportunidades. Essa seria as etapas, sabe Priscila, até que você monitore todas as transações, todos os contratos. E você precisa fazer isso para todas as áreas. Todas as áreas que você tem relacionamento, você precisa entender quais são as etapas ali do relacionamento do atacado. E você precisa entregar o valor de acordo com a área, porque o atacado valor dele é habilitação. É pegar, por exemplo, se a gente for falar em futebol, o atacado tem um mid-campo que ele consegue encontrar o atacante livre para fazer o gol. É isso que ele faz com as outras áreas. Ele pega todas as verdades, ele passa tudo que a área precisa, ele faz toda análise de mercado, Olha, isso é tudo que você precisa de dados. A gente tem uma proposta aqui que é a nossa força de vendas. E você pode pegar esses dados, analisar e tomar boas decisões para fechar os contratos. O atacado faz muito isso. Só que isso não está muito claro, pelo que eu vejo nas reuniões ali. Essa primeira reunião de arquitetura estava bem confusa. As pessoas não conseguem entender isso aqui. Então, qual que é a dificuldade? A área de negócio, ela não vai saber como o atacado funciona, porque a área de negócio está fora do atacado. A área de negócio, ela vai demandar alguma informação, alguma segmentação, como por exemplo, cash, que é pegar os dados ali do mercado-alvo para tomar decisões, para fazer análise, para criar um painel. Então, a área não sabe como o atacado funciona e o atacado precisa entender como a área quer habilitar as tecnologias que o atacado tem, a expertise que o atacado tem, porque o atacado é uma área secundária. Então, se não unir alguém do atacado para entender o que a área quer entregar valor, essas jornadas ficam desconexas. A gente não consegue entender a entrega de valor, que é o que está acontecendo hoje. E aí eu vejo que os arquitetos estão ainda no nível muito alto, esperando a história chegar pronta para poder desenhar arquitetura. Isso não vai acontecer. A área de negócio não vai te dizer o que ela precisa, porque é uma visão do atacado para as áreas. Então as áreas não sabem eternamente como o atacado funciona. Alguém do atacado precisa ir lá compreender essa integração das áreas, entender o que precisa de entrega de valor, o que vai realmente agregar valor à operação, o que o atacado agrega valor à operação. Como é que isso é monitorado? Quais são as métricas? E aí você vai entender as etapas que o atacado precisa fazer para cumprir o seu papel junto às áreas, que são essas iniciativas de integração.",desvalorização
"Jaguaraci Batista Silva Se a gente não entender isso, a gente vai quebrar a jornada de forma errada, a gente não vai entender a entrega do valor, a gente não consegue entender como a priorização, inclusive, dessa jornada, que é o que está acontecendo. Agora, do ponto de vista de arquitetura, entender o negócio é importante para a arquitetura, porque a gente precisa saber se aquele dado é quente, o frio, se ele precisa de um tratamento mais rápido, se ele é online ou se ele vai ser batch. Sim, é verdade.",delegação_inadequada
"Jaguaraci Batista Silva Eu falei pra Agnes que eu consigo ajudar nesse ponto. Mas a reunião de arquitetura, ela é monótona, tá? Muito monótona e as pessoas ficam reclamando muito. Isso não adianta. A gente entende que o negócio nunca vai saber desenhar arquitetura. Por isso que o nosso papel é isso. Nosso papel é ajudar o negócio até pra que ele saiba o que ele quer. Então, eu queria participar de reuniões de negócio. As reuniões de arquitetura, elas não são produtivas. Se eu conseguir participar das reuniões de negócio, se eu como participante da descoberta de crédito, eu posso ter ideia de... Não só ideia da arquitetura de solução, como eu fiz o desenho muito rápido, porque essa integração possível de crédito, eu já tive experiência com plataformas de crédito do Nikaú. Só que eu não posso pegar a mesma ideia de integração de uma plataforma sem conhecer o negócio, sem conhecer as suas necessidades, sem conhecer as prioridades. Mas o desenho de plataforma em si, até da arquitetura de solução, já tem um pouco na minha cabeça. Eu consigo ajudar em muitas partes, mas não adianta você pegar uma arquitetura complexa e muito grande e dizer, olha, o desenho da arquitetura de integração vai ser isso aqui. Tá, mas por onde a gente começa?",desvalorização
"Priscila Lourenço Molina Eu acho, Jaguar, que essas reuniões de arquitetura só vão servir mesmo, e eu concordo com você, só reclamação e dificuldades. Esse é o repórter. Mas eu acho que essas reuniões de arquitetura seriam só para como ouvinte você entender que assuntos estão rodando, que governança está por trás daquilo, que entraves, que setores, começar a entender de que forma que eles interagem com outras áreas e o que as áreas estão demandando de controles para eles. Em reunião de arquitetura seria muito mais para entender só esse ciclosistema de ouvinte do que propriamente ali de propor uma solução. Onde que eu vejo que você vai encontrar esse ponto? A gente está formatando aquele processo de descoberta. Você viu que a Salesforce formatou um. Eu trouxe ali o processo de delivery, mas não de uma forma, não como eu gostaria. Eu queria fazer de ponta a ponta, mas o Vandré quis fazer isso segmentado. Nesse processo de descoberta, que a gente está terminando a formatação, e você vai ser inserido, principalmente ali agora, dentro desse contexto de crédito, eu acho que vai ser o ambiente pra gente. É o ambiente que dá pra lançar mais sementes, sabe? É um ambiente mais permeável do que o ambiente ali mesmo de arquitetura, do DATI e dessa parte extremamente técnica, tá? Então, assim, vai guardando aquela história, né? Vou guardando esse conhecimento. Eu acho que vai ter oportunidade dentro dessas fases de descoberta da gente puxar isso de uma maneira mais evolutiva, tá? Dentro da fase de descoberta, mas isso já é dentro do atacado. Dentro do atacado, dentro dessa fase. Aí eu acho que vai dar pra bola chegar mais redonda aqui no delivery por conta disso. Sabe? Pros nossos tech leads, pras pessoas, para os nossos devs, eu acho que isso tem possibilidade de acontecer. Mas vai fazendo isso que você tá fazendo. Vai mapeando, vai encontrando os buracos abertos, vai entendendo como que você poderia ajudar E conforme essa estrutura for rodando, eu acho que as oportunidades vão aparecendo. Eu espero.",delegação_inadequada
"Jaguaraci Batista Silva Essa aba aqui sobre mapa de capacidade de negócio, foi até interessante, porque eu compartilhei essa planilha com você, compartilhei com a Agnes também. Teve um grupo também dúvida e eu vou martilhar com o Ramiro porque ele está fazendo descoberta do Cruzeiro e ajuda para entender o fronteiro do negócio. Então, alguém viu isso aqui e até comentou, é que essa reunião de arquitetura não é aquela aquela reunião geral com todos os arquitetos lá, é só uma reunião fechada, que a Agnes me convidou pra participar. Eu falei pra ela que eu iria ajudar, né, nessa pá integração. Ela não consegue desenhar arquitetura integração por conta desses problemas aí. Então ela me colocou nessa reunião pra ver se eu conseguiria, a partir daí, ajudá-la ali. Mas não rolou. Mas a partir desses compartilhamentos aí, alguém comentou, eu lembro que alguém dos seus forços, né, o Flávio e o Adriano estavam conversando, e alguém do Pega também falou que ofereceu esse mapa de capacidade aqui, pro Pega, pra ajudar as áreas de negócio a entenderem as jornadas que estão relacionadas ali com os componentes. Eu acredito que ajuda, mas não resolve o problema Porque você precisa ter um domínio de dados ali com uma visão corporativa, mas partindo de uma área departamental. Então essa divisão aqui do domínio de dados, por exemplo, para os seus fósseis, porque o KTP dos seus fósseis, ela não seria corporativa. Dos componentes do seu FOSS. Isso aqui, para o Adriano e para o Fábio, foi muito bom, porque eles puderam perceber quais jornadas os componentes do seu FOSS poderiam apoiar e direcionar as dúvidas das áreas de negócio. Mas para o PEGA, por exemplo, não vai servir. E também as outras integrações que a gente já viu que tem, ali pela planilha do Alexandre, também não vai servir por completo.",desvalorização
"Jaguaraci Batista Silva Mas é um caminho. Os domínios de dados que eu coloquei na planilha do Ramiro, eles são mais corporativos. Eles já partem do processo do Bianco ou do domínio de dados do Bianco. Eles não são domínios de dados dos seus forços. Eu acredito que esse é o caminho. Mas para ter esse entendimento, eu acredito que alguém da área de negócio precisa entender o que é o Bianco. Precisa mapear esses domínios do ponto de vista corporativo e de um modelo mais global, que não pode ser vinculado ou dependente de uma tecnologia como seus fones.",delegação_inadequada
"Priscila Lourenço Molina Eu acho que eles não estão nesse nível de amadurecimento ainda, mas não quer dizer que a gente não possa elevar o nível, tá, Jaguar? Mas eu acho realmente que a gente tá com questões mais fundamentais ali dentro. Inclusive pela mudança mesmo do Vessou, pela tanto de P.O.s novos que estão aqui e por essas demandas aí que estão chegando com data-alvo, eu acho que talvez é too much para esse semestre, sabe, considerando aí até o fim do ano e as datas marco, mas vamos monitorando, se encontrar o espaço a gente entra com isso, tá.",desvalorização
"Jaguaraci Batista Silva Então, essas apagações aqui que seriam mais prioritárias ali para o crédito, eu não vejo avanço. Está muito parado a discussão de negócio. Elas não chegam a habilitar nenhum design da arquitetura de solução, o que dirá. Então, a escrita de história, a partir da jornada, ela é meio confusa e está vendo muita dificuldade para concluir essa fase. Perfeito.",delegação_inadequada
